pos_x,pos_y,pos_z,des_x,des_y,des_z,err_x,err_y,err_z,vx,vy,vz,v_norm
0.271,-0.058,0.19,0.288,-0.058,0.19,0.016,0.0,-0.0,0.082,0.001,0.0,0.08200609733428363
0.292,-0.055,0.19,0.308,-0.048,0.19,0.016,0.007,-0.0,0.079,0.04,0.0,0.08854942122905153
0.312,-0.043,0.19,0.323,-0.031,0.19,0.011,0.012,0.0,0.054,0.06,0.0,0.08072174428244226
0.324,-0.025,0.19,0.331,-0.009,0.19,0.006,0.016,0.0,0.029,0.078,0.0,0.08321658488546618
0.33,-0.003,0.189,0.33,0.013,0.19,0.0,0.016,0.001,-0.002,0.08,0.0,0.08002499609497023
0.327,0.019,0.189,0.321,0.034,0.19,-0.006,0.015,0.001,-0.034,0.073,0.0,0.08052949770115296
0.316,0.038,0.188,0.305,0.05,0.19,-0.011,0.012,0.002,-0.059,0.059,0.0,0.0834386001800126
0.299,0.051,0.188,0.283,0.059,0.19,-0.016,0.008,0.002,-0.081,0.036,0.0,0.08863972021616494
0.279,0.057,0.188,0.26,0.059,0.19,-0.019,0.002,0.002,-0.097,-0.003,0.0,0.09704638066409278
0.258,0.056,0.188,0.239,0.051,0.19,-0.018,-0.006,0.002,-0.093,-0.033,0.0,0.09868130522039116
0.236,0.046,0.188,0.223,0.035,0.19,-0.013,-0.011,0.002,-0.059,-0.054,0.0,0.07998124780221924
0.22,0.028,0.188,0.213,0.014,0.19,-0.007,-0.014,0.001,-0.032,-0.07,0.0,0.07696752561957543
0.214,0.008,0.189,0.212,-0.009,0.19,-0.002,-0.016,0.001,0.005,-0.082,0.0,0.0821522975941635
0.214,-0.014,0.189,0.219,-0.03,0.19,0.005,-0.016,0.001,0.032,-0.081,0.0,0.08709190547921201
0.224,-0.033,0.189,0.235,-0.047,0.19,0.01,-0.014,0.001,0.054,-0.069,0.0,0.0876184911990614
0.24,-0.048,0.189,0.255,-0.058,0.19,0.015,-0.01,0.0,0.078,-0.047,0.0,0.0910659101969557
0.259,-0.056,0.189,0.277,-0.06,0.19,0.018,-0.003,0.001,0.094,-0.015,0.0,0.09518928511129811
0.282,-0.057,0.189,0.299,-0.053,0.19,0.017,0.004,0.001,0.088,0.026,0.0,0.09176055797563569
0.304,-0.048,0.189,0.317,-0.039,0.19,0.013,0.009,0.001,0.063,0.046,0.0,0.07800640999302558
0.319,-0.033,0.189,0.328,-0.02,0.19,0.009,0.013,0.001,0.042,0.065,0.0,0.07738862965578341
0.328,-0.013,0.189,0.331,0.003,0.19,0.003,0.015,0.001,0.016,0.075,0.0,0.07668767828015137
0.329,0.008,0.189,0.326,0.025,0.19,-0.003,0.017,0.001,0.0,0.083,0.0,0.083
0.321,0.028,0.188,0.313,0.043,0.19,-0.008,0.015,0.002,-0.042,0.073,0.0,0.08421995013059554
0.307,0.044,0.188,0.294,0.056,0.19,-0.014,0.011,0.002,-0.068,0.054,0.0,0.08683317338436963
0.288,0.055,0.187,0.271,0.06,0.19,-0.016,0.005,0.002,-0.081,0.021,0.0,0.08367795408588811
0.266,0.057,0.188,0.249,0.056,0.19,-0.016,-0.001,0.002,-0.082,-0.0,0.0,0.082
0.244,0.052,0.188,0.23,0.043,0.19,-0.014,-0.009,0.002,-0.072,-0.047,0.0,0.08598255637046388
0.226,0.037,0.188,0.217,0.025,0.19,-0.009,-0.012,0.002,-0.038,-0.062,0.0,0.07271863585079137
0.216,0.019,0.188,0.212,0.002,0.19,-0.004,-0.017,0.002,-0.016,-0.085,0.0,0.08649277426467486
0.214,-0.002,0.188,0.215,-0.02,0.19,0.001,-0.018,0.002,0.0,-0.088,0.0,0.088
0.218,-0.024,0.189,0.226,-0.039,0.19,0.008,-0.015,0.001,0.044,-0.074,0.0,0.08609297300012353
0.231,-0.042,0.189,0.244,-0.053,0.19,0.013,-0.011,0.001,0.069,-0.055,0.0,0.08823831367382312
0.25,-0.054,0.189,0.266,-0.06,0.19,0.017,-0.006,0.001,0.087,-0.027,0.0,0.09109335870413386
0.271,-0.058,0.189,0.289,-0.057,0.19,0.018,0.0,0.001,0.093,0.0,0.0,0.093
0.292,-0.055,0.189,0.309,-0.047,0.19,0.017,0.008,0.001,0.089,0.042,0.0,0.09841239759298621
0.31,-0.043,0.189,0.324,-0.03,0.19,0.014,0.013,0.001,0.071,0.071,0.0,0.10040916292848974
0.323,-0.026,0.189,0.331,-0.008,0.19,0.008,0.017,0.001,0.041,0.09,0.0,0.09889893831583836
0.327,-0.001,0.188,0.33,0.015,0.19,0.003,0.016,0.002,-0.001,0.076,0.0,0.07600657866263946
0.325,0.02,0.187,0.32,0.035,0.19,-0.004,0.015,0.002,-0.022,0.07,0.0,0.07337574531137657
0.314,0.039,0.187,0.304,0.05,0.19,-0.01,0.012,0.003,-0.047,0.056,0.0,0.07310950690573696
0.296,0.052,0.187,0.283,0.059,0.19,-0.014,0.007,0.002,-0.068,0.033,-0.0,0.07558438992278764
0.276,0.057,0.188,0.26,0.059,0.19,-0.016,0.002,0.002,-0.078,-0.003,-0.0,0.07805767098754612
0.255,0.056,0.188,0.239,0.051,0.19,-0.016,-0.005,0.002,-0.076,-0.03,-0.0,0.08170679286326199
0.236,0.046,0.188,0.223,0.035,0.19,-0.013,-0.011,0.002,-0.061,-0.057,-0.0,0.08348652585896721
0.22,0.029,0.188,0.213,0.015,0.19,-0.007,-0.014,0.002,-0.029,-0.072,-0.0,0.07762087348130012
0.213,0.008,0.188,0.212,-0.008,0.19,-0.001,-0.016,0.002,0.003,-0.079,-0.0,0.07905694150420949
0.213,-0.013,0.189,0.219,-0.029,0.19,0.005,-0.016,0.001,0.033,-0.076,-0.0,0.08285529554590944
0.223,-0.032,0.189,0.233,-0.046,0.19,0.011,-0.014,0.001,0.056,-0.068,-0.0,0.08809086218218097
0.238,-0.047,0.189,0.253,-0.057,0.19,0.016,-0.01,0.001,0.082,-0.048,-0.0,0.09501578816175762
0.257,-0.056,0.189,0.276,-0.06,0.19,0.019,-0.004,0.001,0.098,-0.017,-0.0,0.09946356116689167
0.279,-0.057,0.189,0.298,-0.054,0.19,0.019,0.004,0.001,0.1,0.025,-0.0,0.10307764064044153
